hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
382,618,610,38.2,61.8,1000,1,0,Random,aleatorio
369,631,623,36.9,63.1,1000,2,100,Random,aleatorio
407,593,585,40.7,59.3,1000,3,200,Random,aleatorio
410,590,582,41.0,59.0,1000,4,300,Random,aleatorio
382,618,610,38.2,61.8,1000,5,400,Random,aleatorio
368,632,624,36.8,63.2,1000,6,500,Random,aleatorio
389,611,603,38.9,61.1,1000,7,600,Random,aleatorio
405,595,587,40.5,59.5,1000,8,700,Random,aleatorio
404,596,588,40.4,59.6,1000,9,800,Random,aleatorio
382,618,610,38.2,61.8,1000,10,900,Random,aleatorio
997,3,0,99.7,0.3,1000,1,0,Random,localidad
997,3,0,99.7,0.3,1000,2,100,Random,localidad
997,3,0,99.7,0.3,1000,3,200,Random,localidad
997,3,0,99.7,0.3,1000,4,300,Random,localidad
997,3,0,99.7,0.3,1000,5,400,Random,localidad
997,3,0,99.7,0.3,1000,6,500,Random,localidad
997,3,0,99.7,0.3,1000,7,600,Random,localidad
997,3,0,99.7,0.3,1000,8,700,Random,localidad
997,3,0,99.7,0.3,1000,9,800,Random,localidad
997,3,0,99.7,0.3,1000,10,900,Random,localidad
736,264,256,73.6,26.4,1000,1,0,Random,mixto
729,271,263,72.9,27.1,1000,2,100,Random,mixto
737,263,255,73.7,26.3,1000,3,200,Random,mixto
748,252,244,74.8,25.2,1000,4,300,Random,mixto
730,270,262,73.0,27.0,1000,5,400,Random,mixto
755,245,237,75.5,24.5,1000,6,500,Random,mixto
746,254,246,74.6,25.4,1000,7,600,Random,mixto
734,266,258,73.4,26.6,1000,8,700,Random,mixto
727,273,265,72.7,27.3,1000,9,800,Random,mixto
754,246,238,75.4,24.6,1000,10,900,Random,mixto
