hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
180,820,816,18.0,82.0,1000,1,0,Random,aleatorio
206,794,790,20.6,79.4,1000,2,100,Random,aleatorio
195,805,801,19.5,80.5,1000,3,200,Random,aleatorio
205,795,791,20.5,79.5,1000,4,300,Random,aleatorio
219,781,777,21.9,78.1,1000,5,400,Random,aleatorio
174,826,822,17.4,82.6,1000,6,500,Random,aleatorio
176,824,820,17.6,82.4,1000,7,600,Random,aleatorio
180,820,816,18.0,82.0,1000,8,700,Random,aleatorio
183,817,813,18.3,81.7,1000,9,800,Random,aleatorio
198,802,798,19.8,80.2,1000,10,900,Random,aleatorio
997,3,0,99.7,0.3,1000,1,0,Random,localidad
997,3,0,99.7,0.3,1000,2,100,Random,localidad
997,3,0,99.7,0.3,1000,3,200,Random,localidad
997,3,0,99.7,0.3,1000,4,300,Random,localidad
997,3,0,99.7,0.3,1000,5,400,Random,localidad
997,3,0,99.7,0.3,1000,6,500,Random,localidad
997,3,0,99.7,0.3,1000,7,600,Random,localidad
997,3,0,99.7,0.3,1000,8,700,Random,localidad
997,3,0,99.7,0.3,1000,9,800,Random,localidad
997,3,0,99.7,0.3,1000,10,900,Random,localidad
581,419,415,58.1,41.9,1000,1,0,Random,mixto
572,428,424,57.2,42.8,1000,2,100,Random,mixto
574,426,422,57.4,42.6,1000,3,200,Random,mixto
569,431,427,56.9,43.1,1000,4,300,Random,mixto
590,410,406,59.0,41.0,1000,5,400,Random,mixto
573,427,423,57.3,42.7,1000,6,500,Random,mixto
565,435,431,56.5,43.5,1000,7,600,Random,mixto
560,440,436,56.0,44.0,1000,8,700,Random,mixto
566,434,430,56.6,43.4,1000,9,800,Random,mixto
573,427,423,57.3,42.7,1000,10,900,Random,mixto
