patron,politica,4,8,16
aleatorio,FIFO,805.6,604.7,204.8
aleatorio,LRU,804.8,606.9,200.0
aleatorio,Random,804.4,602.2,198.6
localidad,FIFO,0.0,0.0,0.0
localidad,LRU,0.0,0.0,0.0
localidad,Random,0.0,0.0,0.0
mixto,FIFO,427.3,246.8,67.9
mixto,LRU,363.3,180.6,57.7
mixto,Random,423.7,252.4,62.4
secuencial,FIFO,996.0,992.0,984.0
secuencial,LRU,996.0,992.0,984.0
secuencial,Random,996.0,992.0,984.0
