hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
0,1000,984,0.0,100.0,1000,1,0,LRU,secuencial
0,1000,984,0.0,100.0,1000,2,100,LRU,secuencial
0,1000,984,0.0,100.0,1000,3,200,LRU,secuencial
0,1000,984,0.0,100.0,1000,4,300,LRU,secuencial
0,1000,984,0.0,100.0,1000,5,400,LRU,secuencial
0,1000,984,0.0,100.0,1000,6,500,LRU,secuencial
0,1000,984,0.0,100.0,1000,7,600,LRU,secuencial
0,1000,984,0.0,100.0,1000,8,700,LRU,secuencial
0,1000,984,0.0,100.0,1000,9,800,LRU,secuencial
0,1000,984,0.0,100.0,1000,10,900,LRU,secuencial
767,233,217,76.7,23.3,1000,1,0,LRU,aleatorio
778,222,206,77.8,22.2,1000,2,100,LRU,aleatorio
792,208,192,79.2,20.8,1000,3,200,LRU,aleatorio
783,217,201,78.3,21.7,1000,4,300,LRU,aleatorio
778,222,206,77.8,22.2,1000,5,400,LRU,aleatorio
767,233,217,76.7,23.3,1000,6,500,LRU,aleatorio
792,208,192,79.2,20.8,1000,7,600,LRU,aleatorio
776,224,208,77.6,22.4,1000,8,700,LRU,aleatorio
793,207,191,79.3,20.7,1000,9,800,LRU,aleatorio
814,186,170,81.4,18.6,1000,10,900,LRU,aleatorio
997,3,0,99.7,0.3,1000,1,0,LRU,localidad
997,3,0,99.7,0.3,1000,2,100,LRU,localidad
997,3,0,99.7,0.3,1000,3,200,LRU,localidad
997,3,0,99.7,0.3,1000,4,300,LRU,localidad
997,3,0,99.7,0.3,1000,5,400,LRU,localidad
997,3,0,99.7,0.3,1000,6,500,LRU,localidad
997,3,0,99.7,0.3,1000,7,600,LRU,localidad
997,3,0,99.7,0.3,1000,8,700,LRU,localidad
997,3,0,99.7,0.3,1000,9,800,LRU,localidad
997,3,0,99.7,0.3,1000,10,900,LRU,localidad
922,78,62,92.2,7.8,1000,1,0,LRU,mixto
930,70,54,93.0,7.0,1000,2,100,LRU,mixto
934,66,50,93.4,6.6,1000,3,200,LRU,mixto
919,81,65,91.9,8.1,1000,4,300,LRU,mixto
934,66,50,93.4,6.6,1000,5,400,LRU,mixto
937,63,47,93.7,6.3,1000,6,500,LRU,mixto
919,81,65,91.9,8.1,1000,7,600,LRU,mixto
930,70,54,93.0,7.0,1000,8,700,LRU,mixto
921,79,63,92.1,7.9,1000,9,800,LRU,mixto
917,83,67,91.7,8.3,1000,10,900,LRU,mixto
0,1000,984,0.0,100.0,1000,1,0,FIFO,secuencial
0,1000,984,0.0,100.0,1000,2,100,FIFO,secuencial
0,1000,984,0.0,100.0,1000,3,200,FIFO,secuencial
0,1000,984,0.0,100.0,1000,4,300,FIFO,secuencial
0,1000,984,0.0,100.0,1000,5,400,FIFO,secuencial
0,1000,984,0.0,100.0,1000,6,500,FIFO,secuencial
0,1000,984,0.0,100.0,1000,7,600,FIFO,secuencial
0,1000,984,0.0,100.0,1000,8,700,FIFO,secuencial
0,1000,984,0.0,100.0,1000,9,800,FIFO,secuencial
0,1000,984,0.0,100.0,1000,10,900,FIFO,secuencial
772,228,212,77.2,22.8,1000,1,0,FIFO,aleatorio
760,240,224,76.0,24.0,1000,2,100,FIFO,aleatorio
790,210,194,79.0,21.0,1000,3,200,FIFO,aleatorio
780,220,204,78.0,22.0,1000,4,300,FIFO,aleatorio
791,209,193,79.1,20.9,1000,5,400,FIFO,aleatorio
765,235,219,76.5,23.5,1000,6,500,FIFO,aleatorio
790,210,194,79.0,21.0,1000,7,600,FIFO,aleatorio
781,219,203,78.1,21.9,1000,8,700,FIFO,aleatorio
767,233,217,76.7,23.3,1000,9,800,FIFO,aleatorio
796,204,188,79.6,20.4,1000,10,900,FIFO,aleatorio
997,3,0,99.7,0.3,1000,1,0,FIFO,localidad
997,3,0,99.7,0.3,1000,2,100,FIFO,localidad
997,3,0,99.7,0.3,1000,3,200,FIFO,localidad
997,3,0,99.7,0.3,1000,4,300,FIFO,localidad
997,3,0,99.7,0.3,1000,5,400,FIFO,localidad
997,3,0,99.7,0.3,1000,6,500,FIFO,localidad
997,3,0,99.7,0.3,1000,7,600,FIFO,localidad
997,3,0,99.7,0.3,1000,8,700,FIFO,localidad
997,3,0,99.7,0.3,1000,9,800,FIFO,localidad
997,3,0,99.7,0.3,1000,10,900,FIFO,localidad
923,77,61,92.3,7.7,1000,1,0,FIFO,mixto
910,90,74,91.0,9.0,1000,2,100,FIFO,mixto
927,73,57,92.7,7.3,1000,3,200,FIFO,mixto
910,90,74,91.0,9.0,1000,4,300,FIFO,mixto
919,81,65,91.9,8.1,1000,5,400,FIFO,mixto
908,92,76,90.8,9.2,1000,6,500,FIFO,mixto
910,90,74,91.0,9.0,1000,7,600,FIFO,mixto
910,90,74,91.0,9.0,1000,8,700,FIFO,mixto
924,76,60,92.4,7.6,1000,9,800,FIFO,mixto
920,80,64,92.0,8.0,1000,10,900,FIFO,mixto
0,1000,984,0.0,100.0,1000,1,0,Random,secuencial
0,1000,984,0.0,100.0,1000,2,100,Random,secuencial
0,1000,984,0.0,100.0,1000,3,200,Random,secuencial
0,1000,984,0.0,100.0,1000,4,300,Random,secuencial
0,1000,984,0.0,100.0,1000,5,400,Random,secuencial
0,1000,984,0.0,100.0,1000,6,500,Random,secuencial
0,1000,984,0.0,100.0,1000,7,600,Random,secuencial
