hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
886,114,110,88.6,11.4,1000,2,100,LRU,exponencial
889,111,107,88.9,11.1,1000,3,200,LRU,exponencial
870,130,126,87.0,13.0,1000,4,300,LRU,exponencial
862,138,134,86.2,13.8,1000,5,400,LRU,exponencial
877,123,119,87.7,12.3,1000,6,500,LRU,exponencial
890,110,106,89.0,11.0,1000,7,600,LRU,exponencial
895,105,101,89.5,10.5,1000,8,700,LRU,exponencial
899,101,97,89.9,10.1,1000,9,800,LRU,exponencial
909,91,87,90.9,9.1,1000,10,900,LRU,exponencial
0,1000,996,0.0,100.0,1000,1,0,FIFO,secuencial
0,1000,996,0.0,100.0,1000,2,100,FIFO,secuencial
0,1000,996,0.0,100.0,1000,3,200,FIFO,secuencial
0,1000,996,0.0,100.0,1000,4,300,FIFO,secuencial
0,1000,996,0.0,100.0,1000,5,400,FIFO,secuencial
0,1000,996,0.0,100.0,1000,6,500,FIFO,secuencial
0,1000,996,0.0,100.0,1000,7,600,FIFO,secuencial
0,1000,996,0.0,100.0,1000,8,700,FIFO,secuencial
0,1000,996,0.0,100.0,1000,9,800,FIFO,secuencial
0,1000,996,0.0,100.0,1000,10,900,FIFO,secuencial
0,1000,996,0.0,100.0,1000,1,0,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,2,100,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,3,200,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,4,300,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,5,400,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,6,500,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,7,600,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,8,700,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,9,800,FIFO,secuencial_circular
0,1000,996,0.0,100.0,1000,10,900,FIFO,secuencial_circular
191,809,805,19.1,80.9,1000,1,0,FIFO,aleatorio
190,810,806,19.0,81.0,1000,2,100,FIFO,aleatorio
201,799,795,20.1,79.9,1000,3,200,FIFO,aleatorio
197,803,799,19.7,80.3,1000,4,300,FIFO,aleatorio
206,794,790,20.6,79.4,1000,5,400,FIFO,aleatorio
180,820,816,18.0,82.0,1000,6,500,FIFO,aleatorio
188,812,808,18.8,81.2,1000,7,600,FIFO,aleatorio
198,802,798,19.8,80.2,1000,8,700,FIFO,aleatorio
187,813,809,18.7,81.3,1000,9,800,FIFO,aleatorio
166,834,830,16.6,83.4,1000,10,900,FIFO,aleatorio
997,3,0,99.7,0.3,1000,1,0,FIFO,localidad
997,3,0,99.7,0.3,1000,2,100,FIFO,localidad
997,3,0,99.7,0.3,1000,3,200,FIFO,localidad
997,3,0,99.7,0.3,1000,4,300,FIFO,localidad
997,3,0,99.7,0.3,1000,5,400,FIFO,localidad
997,3,0,99.7,0.3,1000,6,500,FIFO,localidad
997,3,0,99.7,0.3,1000,7,600,FIFO,localidad
997,3,0,99.7,0.3,1000,8,700,FIFO,localidad
997,3,0,99.7,0.3,1000,9,800,FIFO,localidad
997,3,0,99.7,0.3,1000,10,900,FIFO,localidad
742,258,254,74.2,25.8,1000,1,0,FIFO,localidad_pesada
725,275,271,72.5,27.5,1000,2,100,FIFO,localidad_pesada
749,251,247,74.9,25.1,1000,3,200,FIFO,localidad_pesada
768,232,228,76.8,23.2,1000,4,300,FIFO,localidad_pesada
743,257,253,74.3,25.7,1000,5,400,FIFO,localidad_pesada
755,245,241,75.5,24.5,1000,6,500,FIFO,localidad_pesada
734,266,262,73.4,26.6,1000,7,600,FIFO,localidad_pesada
762,238,234,76.2,23.8,1000,8,700,FIFO,localidad_pesada
757,243,239,75.7,24.3,1000,9,800,FIFO,localidad_pesada
768,232,228,76.8,23.2,1000,10,900,FIFO,localidad_pesada
578,422,418,57.8,42.2,1000,1,0,FIFO,mixto
558,442,438,55.8,44.2,1000,2,100,FIFO,mixto
563,437,433,56.3,43.7,1000,3,200,FIFO,mixto
574,426,422,57.4,42.6,1000,4,300,FIFO,mixto
577,423,419,57.7,42.3,1000,5,400,FIFO,mixto
574,426,422,57.4,42.6,1000,6,500,FIFO,mixto
560,440,436,56.0,44.0,1000,7,600,FIFO,mixto
559,441,437,55.9,44.1,1000,8,700,FIFO,mixto
565,435,431,56.5,43.5,1000,9,800,FIFO,mixto
579,421,417,57.9,42.1,1000,10,900,FIFO,mixto
744,256,252,74.4,25.6,1000,1,0,FIFO,mixto_ordenado
758,242,238,75.8,24.2,1000,2,100,FIFO,mixto_ordenado
763,237,233,76.3,23.7,1000,3,200,FIFO,mixto_ordenado
755,245,241,75.5,24.5,1000,4,300,FIFO,mixto_ordenado
753,247,243,75.3,24.7,1000,5,400,FIFO,mixto_ordenado
751,249,245,75.1,24.9,1000,6,500,FIFO,mixto_ordenado
755,245,241,75.5,24.5,1000,7,600,FIFO,mixto_ordenado
755,245,241,75.5,24.5,1000,8,700,FIFO,mixto_ordenado
752,248,244,75.2,24.8,1000,9,800,FIFO,mixto_ordenado
